param_id,repetition,accident_probability,helmet,change_lane_switch,scooter_safety_slider,average_congestion_final,avg_car_travel_time_final,avg_scooter_travel_time_final,car_person_accidents_final,car_scooter_accidents_final,helmet_ratio_final,scooter_person_accidents_final,scooter_scooter_accidents_final,step_final,average_congestion_max,avg_car_travel_time_max,avg_scooter_travel_time_max,car_person_accidents_max,car_scooter_accidents_max,helmet_ratio_max,scooter_person_accidents_max,scooter_scooter_accidents_max,step_max,average_congestion_mean,avg_car_travel_time_mean,avg_scooter_travel_time_mean,car_person_accidents_mean,car_scooter_accidents_mean,helmet_ratio_mean,scooter_person_accidents_mean,scooter_scooter_accidents_mean,step_mean,average_congestion_min,avg_car_travel_time_min,avg_scooter_travel_time_min,car_person_accidents_min,car_scooter_accidents_min,helmet_ratio_min,scooter_person_accidents_min,scooter_scooter_accidents_min,step_min
7,2,0.1,1,0,0.5,0.41407867494824,3534.1,3699.59183673469,5.0,1.0,1.0,21.0,11.0,30001.0,7.70186335403727,3534.1,3699.59183673469,5.0,1.0,1.0,21.0,11.0,30001.0,1.18846735269443,0.0,0.0,4.58942737150857,0.86944203719752,1.0,19.1793880407973,10.24955003,15000.5,0,239,0,0,0,1,0,0,0
7,3,0.1,1,0,0.5,0.331262939958592,3681.28846153846,2934.54761904762,3.0,3.0,1.0,21.0,9.0,30001.0,7.70186335403727,3681.28846153846,2934.54761904762,3.0,3.0,1.0,21.0,9.0,30001.0,1.18821064103022,0.0,0.0,2.71578561429238,2.81904539697354,1.0,19.6391240583961,8.33421105259649,15000.5,0,34,176,0,0,1,0,0,0
8,1,0.1,1,0,0.7,0.579710144927536,4554.35087719298,5512.20930232558,0.0,4.0,1.0,22.0,11.0,30001.0,7.95031055900621,4554.35087719298,5512.20930232558,0.0,4.0,1.0,22.0,11.0,30001.0,1.38267938797229,0.0,0.0,0.0,3.72891807212852,1.0,20.5963935737618,10.4465368975402,15000.5,0,281,426,0,0,1,0,0,0
8,2,0.1,1,0,0.7,0.165631469979296,3077.48529411765,3373.61111111111,2.0,1.0,1.0,7.0,13.0,30001.0,8.033126294,3077.48529411765,3373.61111111111,2.0,1.0,1.0,7.0,13.0,30001.0,0.940227173261147,0.0,0.0,1.90417305512966,0.883341110592627,1.0,6.55842943803746,11.858442770482,15000.5,0,385,132,0,0,1,0,0,0
8,3,0.1,1,0,0.7,0.41407867494824,3004.22033898305,4229.23404255319,3.0,1.0,1.0,14.0,14.0,30001.0,7.28778467908903,3004.22033898305,4229.23404255319,3.0,1.0,1.0,14.0,14.0,30001.0,1.09205142017488,0.0,0.0,2.81257916138924,0.947736818,1.0,12.9883674421705,13.2982467835478,15000.5,0,0,409,0,0,1,0,0,0
9,1,0.1,1,1,0.2,0.496894409937888,3673.15517241379,3692.33870967742,4.0,10.0,1.0,9.0,3.0,30001.0,14.82401656,3673.15517241379,3692.33870967742,4.0,10.0,1.0,9.0,3.0,30001.0,1.69045183047199,0.0,0.0,3.807712819,8.87234184387708,1.0,7.96553563095794,2.89524031731218,15000.5,0,226,0,0,0,1,0,0,0
9,2,0.1,1,1,0.2,0.745341614906832,3603.4827586206898,2910.06451612903,2.0,6.0,1.0,10.0,6.0,30001.0,15.2380952380952,3603.4827586206898,2910.06451612903,2.0,6.0,1.0,10.0,6.0,30001.0,1.72629485156518,0.0,0.0,1.70715285647623,5.61129258049463,1.0,8.83097793480435,5.81271248583428,15000.5,0,420,0,0,0,1,0,0,0
9,3,0.1,1,1,0.2,0.248447204968944,3299.21538461538,3258.72307692308,3.0,2.0,,8.0,9.0,30001.0,15.1552795031056,3299.21538461538,3258.72307692308,3.0,2.0,1.0,8.0,9.0,30001.0,1.4488088647786,0.0,0.0,2.13702419838677,1.93883741083928,0.0,7.38607426171589,8.31137924138391,15000.5,0,177,70,0,0,1,0,0,0
10,1,0.1,1,1,0.5,0.745341614906832,4462.23636363636,3755.4032258064494,3.0,8.0,1.0,11.0,5.0,30001.0,15.1552795031056,4462.23636363636,3755.4032258064494,3.0,8.0,1.0,11.0,5.0,30001.0,1.96362340509309,0.0,0.0,2.58552763149123,6.85820945270315,1.0,10.1107592827145,4.53886407572829,15000.5,0,180,70,0,0,1,0,0,0
10,2,0.1,1,1,0.5,0.165631469979296,3883.7258064516095,4020.10769230769,5.0,3.0,1.0,8.0,6.0,30001.0,14.9068322981366,3883.7258064516095,4020.10769230769,5.0,3.0,1.0,8.0,6.0,30001.0,1.62786939117831,0.0,0.0,3.99120058662756,2.93557096193587,1.0,7.51283247783481,5.76588227451503,15000.5,0,337,162,0,0,1,0,0,0
